,bigg.reaction,EC_number
688,dm_mththf_c,5.3.1.4
704,doxrbcntex,4.1.1.19
705,doxrbcntpp,4.1.1.19
707,dpr,4.3.2.1
708,drpa,6.3.4.5
709,dsbao1,6.1.1.19
713,dsbggt,1.2.1.11
717,dtartd,3.5.1.1
718,dtmpk,3.5.1.1
719,dtmptex,6.3.5.4
720,dumptex,6.3.1.1
721,duradx,6.1.1.22
727,dxprii,4.1.1.11
728,dxps,2.1.3.2
729,dxylk,2.7.2.4
734,ear120y,4.3.1.1
735,ear121x,2.6.1.1
736,ear121y,6.1.1.12
744,ear161y,2.3.1.109
748,ear181y,2.4.2.17
749,ear40x,3.6.3.14
752,ear60y,1.2.1.8
753,ear80x,1.2.1.8
757,ecap1pp,3.1.3.7
762,ecoah2,2.8.1.6
763,ecoah3,2.8.3.8
774,edtxs4,1.11.1.6
776,enlipaabctex,2.5.1.17
781,epmeacpr,2.5.1.17
783,ethat2pp,2.7.2.2
784,ethatex,6.3.5.5
790,ex_12ppd__s_e,3.6.1.26
791,ex_14glucan_e,3.6.1.26
792,ex_15dap_e,3.6.1.26
793,ex_23camp_e,3.6.1.26
794,ex_23ccmp_e,3.6.1.26
795,ex_23cgmp_e,3.6.1.26
796,ex_23cump_e,3.6.1.26
800,ex_34dhpac_e,2.1.1.79
801,ex_3amp_e,2.1.1.79
802,ex_3cmp_e,2.1.1.79
803,ex_3gmp_e,2.1.1.79
809,ex_4hoxpacd_e,1.1.99.1
810,ex_5dglcn_e,5.4.99.5
811,ex_5mtr_e,4.2.3.5
816,ex_acgal_e,4.1.3.6
837,ex_anhgm_e,3.2.2.10
861,ex_co2_e,1.3.3.3
878,ex_damp_e,3.5.4.1
884,ex_dgsn_e,5.3.3.8
885,ex_dha_e,5.3.3.8
886,ex_dimp_e,5.3.3.8
887,ex_din_e,6.3.4.2
895,ex_eca4colipa_e,2.8.1.1
896,ex_enlipa_e,2.8.1.1
901,ex_f6p_e,4.4.1.15
902,ex_fald_e,4.1.99.1
906,ex_fe3dhbzs_e,4.1.1.12
907,ex_fe3hox_e,4.4.1.8
908,ex_fe3hox_un_e,6.1.1.16
916,ex_frulys_e,3.5.4.5
917,ex_fruur_e,3.2.2.8
922,ex_g3pc_e,2.7.4.14
923,ex_g3pe_e,2.7.4.14
926,ex_g3ps_e,1.4.99.1
928,ex_gal1p_e,2.7.4.11
931,ex_galct__d_e,2.7.1.107
932,ex_galctn__d_e,2.7.1.107
933,ex_galctn__l_e,2.7.1.107
934,ex_galt_e,2.7.1.107
935,ex_galur_e,2.7.1.107
936,ex_gam6p_e,2.7.1.107
937,ex_gam_e,2.7.1.107
941,ex_glcn_e,4.3.1.15
942,ex_glcr_e,4.1.1.20
943,ex_glcur1p_e,5.1.1.7
946,ex_glu__l_e,2.7.7.41
947,ex_gly_e,2.7.7.41
948,ex_glyald_e,2.7.7.41
949,ex_glyb_e,2.7.7.41
950,ex_glyc2p_e,2.7.7.41
951,ex_glyc3p_e,2.7.7.41
952,ex_glyc__r_e,2.7.7.41
955,ex_gmp_e,6.3.3.3
959,ex_gtp_e,3.5.4.13
960,ex_gua_e,3.5.4.14
964,ex_h2s_e,2.7.1.58
967,ex_halipa_e,2.7.1.45
968,ex_hdca_e,4.1.2.15
969,ex_hdcea_e,4.1.2.21
970,ex_hg2_e,2.7.4.8
975,ex_idon__l_e,4.2.1.9
980,ex_ins_e,1.3.1.28
981,ex_isetac_e,2.7.7.58
985,ex_lac__l_e,1.3.1.26
986,ex_laladglu_e,4.2.1.52
987,ex_laladglumdap_e,1.5.1.3
988,ex_laladglumdapdala_e,6.3.2.12
993,ex_lipa_e,4.1.2.25
995,ex_lys__l_e,1.3.3.1
996,ex_lyx__l_e,1.3.3.1
998,ex_mal__l_e,3.5.2.3
1000,ex_malthx_e,3.5.4.26
1001,ex_maltpt_e,2.5.1.15
1006,ex_manglyc_e,4.2.3.4
1007,ex_melib_e,4.2.1.10
1014,ex_mincyc_e,2.5.1.1
1030,ex_novbcn_e,2.7.1.24
1031,ex_o16a4colipa_e,1.1.1.169
1032,ex_o2_e,4.1.2.4
1041,ex_phe__l_e,4.2.1.81
1042,ex_pheme_e,2.7.4.9
1045,ex_ppa_e,1.3.1.1
1050,ex_progly_e,3.6.1.23
1055,ex_pydx_e,1.3.1.9
1056,ex_pydxn_e,1.3.1.10
1057,ex_pyr_e,1.3.1.9
1058,ex_quin_e,1.3.1.10
1059,ex_r5p_e,1.3.1.9
1060,ex_rfamp_e,1.3.1.10
1061,ex_rib__d_e,1.3.1.9
1062,ex_rmn_e,1.3.1.10
1063,ex_sbt__d_e,1.3.1.9
1064,ex_sel_e,1.3.1.10
1065,ex_ser__d_e,1.3.1.9
1066,ex_ser__l_e,1.3.1.10
1067,ex_skm_e,1.3.1.9
1068,ex_slnt_e,1.3.1.10
1069,ex_so2_e,1.3.1.9
1070,ex_so3_e,1.3.1.10
1071,ex_so4_e,1.3.1.9
1072,ex_spmd_e,1.3.1.10
1073,ex_succ_e,1.3.1.9
1074,ex_sucr_e,1.3.1.10
1075,ex_sulfac_e,1.3.1.9
1076,ex_tartr__d_e,1.3.1.10
1077,ex_tartr__l_e,1.3.1.9
1078,ex_taur_e,1.3.1.10
1085,ex_tma_e,4.2.1.17
1086,ex_tmao_e,4.2.1.17
1087,ex_tre_e,4.2.1.17
1088,ex_trp__l_e,4.2.1.17
1089,ex_tsul_e,4.2.1.17
1090,ex_ttdca_e,4.2.1.17
1091,ex_ttdcea_e,4.2.1.17
1092,ex_ttrcyc_e,4.2.1.17
1093,ex_tungs_e,4.1.2.14
1094,ex_tym_e,4.2.1.12
1099,ex_udpg_e,1.3.1.10
1101,ex_udpglcur_e,4.2.1.11
1105,ex_uri_e,1.3.1.10
1106,ex_val__l_e,4.3.1.7
1117,fa100acphi,3.1.2.14
1118,fa120acphi,3.1.2.14
1119,fa140acphi,3.1.2.14
1120,fa141acphi,3.1.2.14
1121,fa160acphi,3.1.2.14
1122,fa161acphi,3.1.2.14
1123,fa80acphi,3.1.2.14
1134,facoal100t2pp,6.2.1.3
1135,facoal120t2pp,6.2.1.3
1136,facoal140t2pp,6.2.1.3
1137,facoal141t2pp,6.2.1.3
1138,facoal160t2pp,6.2.1.3
1139,facoal161t2pp,6.2.1.3
1140,facoal180t2pp,6.2.1.3
1141,facoal181t2pp,6.2.1.3
1142,facoal60t2pp,6.2.1.3
1143,facoal80t2pp,6.2.1.3
1150,fba,4.1.2.13
1151,fba3,4.1.2.13
1152,fbp,3.1.3.11
1153,fci,5.3.1.25
1154,fclk,2.7.1.51
1155,fclpa,4.1.2.17
1156,fclt,4.99.1.1
1157,fdh4pp,1.2.2.1
1158,fdh5pp,1.2.2.1
1209,feropp,1.16.3.1
1213,ffsd,3.2.1.26
1216,flvr,1.5.1.30
1217,flvrx,1.5.1.30
1218,fmettrs,2.1.2.9
1219,fmnat,2.7.7.2
1222,fometri,2.1.2.10
1227,frd2,1.3.99.1
1228,frd3,1.3.99.1
1229,fruk,2.7.1.56
1240,fthfd,3.5.1.10
1241,fthfli,6.3.4.3
1244,fum,4.2.1.2
1250,g1pact,2.3.1.157
1251,g1pppp,3.1.3.10
1252,g1ptex,2.7.7.24
1254,g1sat,5.4.3.8
1257,g3pat120,2.3.1.15
1258,g3pat140,2.3.1.15
1259,g3pat141,2.3.1.15
1260,g3pat160,2.3.1.15
1261,g3pat161,2.3.1.15
1262,g3pat180,2.3.1.15
1263,g3pat181,2.3.1.15
1266,g3pd2,1.1.1.94
1267,g3pd5,1.1.99.5
1268,g3pd6,1.1.99.5
1269,g3pd7,1.1.99.5
1280,g5sd,1.2.1.41
1281,g6pda,3.5.99.6
1282,g6pdh2r,1.1.1.49
1283,g6pp,3.1.3.9
1286,gal1pppp,3.1.3.10
1289,galbdtex,4.2.1.42
1291,galctlo,4.2.1.6
1298,galcttex,2.7.1.6
1299,galkr,5.1.3.3
1300,galm2pp,3.2.1.22
1306,galttex,2.7.7.9
1314,gapd,1.2.1.12
1315,garft,2.1.2.2
1318,gcaldd,1.2.1.21
1323,gdptex,3.1.7.2
1325,gf6pta,2.6.1.16
1331,ghmt2r,2.1.2.1
1332,gk1,2.7.4.8
1333,glbran2,2.4.1.18
1334,glcabcpp,2.3.1.79
1338,glcntex,2.4.1.1
1339,glcp,2.4.1.1
1340,glcp2,4.1.2.20
1341,glcptspp,4.2.1.40
1344,glcrt2rpp,2.4.1.21
1357,glgc,2.7.7.27
1358,glnabcpp,6.3.1.2
1359,glns,6.1.1.18
1363,glu5k,2.7.2.11
1365,gluabutt7pp,6.3.2.2
1366,glucys,4.1.1.15
1367,gludc,1.4.1.4
1368,gludy,3.5.1.2
1369,glun,3.5.1.2
1370,glunpp,2.4.2.14
1371,gluprt,5.1.1.3
1372,glur,1.4.1.13
1374,glut2rpp,6.1.1.17
1379,glxcl,4.1.1.47
1382,glyat,2.3.1.29
1393,glycdx,1.1.1.6
1394,glyck,2.7.1.31
1395,glyck2,2.7.1.31
1398,glycltdy,1.1.1.26
1407,glyk,2.7.1.30
1408,glyox,3.1.2.6
1410,glyt2pp_copy1,6.1.1.14
1415,gmand,4.2.1.47
1419,gmpr,1.7.1.7
1420,gmps2,6.3.5.2
1422,gnd,1.1.1.44
1423,gnk,2.7.1.12
1426,gpdda1,3.1.4.46
1427,gpdda1pp,3.1.4.46
1428,gpdda2,3.1.4.46
1429,gpdda2pp,3.1.4.46
1430,gpdda3,3.1.4.46
1431,gpdda3pp,3.1.4.46
1432,gpdda4,3.1.4.46
1433,gpdda4pp,3.1.4.46
1434,gpdda5,3.1.4.46
1435,gpdda5pp,3.1.4.46
1436,grtt,2.5.1.10
1437,grxr,1.8.4.2
1441,gspmda,3.5.1.78
1442,gspmds,6.3.1.8
1444,gthoxtex,1.8.1.7
1445,gthpi,1.11.1.9
1450,gths,6.3.2.3
1451,gtpci,3.5.4.16
1453,gtpdpdp,3.6.1.40
1454,gtpdpk,2.7.6.5
1457,guacyc,4.6.1.2
1458,guad,3.5.4.3
1459,guaprt,2.4.2.8
1463,gui1,5.3.1.12
1464,gui2,5.3.1.12
1474,hacd1,1.1.1.35
1475,hacd2,1.1.1.35
1476,hacd3,1.1.1.35
1477,hacd4,1.1.1.35
1478,hacd5,1.1.1.35
1479,hacd6,1.1.1.35
1480,hacd7,1.1.1.35
1481,hacd8,1.1.1.35
1486,hco3e,4.2.1.1
1487,hcysmt,2.1.1.10
1498,hetzk,2.7.1.50
1499,hex1,2.7.1.1
1500,hex4,2.7.1.7
1501,hex7,2.7.1.1
1506,hisabcpp,1.1.1.23
1507,hist2rpp,3.1.3.15
1508,histd,6.1.1.21
1514,hmbs,4.3.1.8
1515,hmpk1,2.7.1.49
1519,hppk2,2.7.6.3
1520,hpppndo,1.13.11.16
1523,hpyri,5.3.1.22
1526,hsdy,1.1.1.3
1527,hsk,2.7.1.39
1528,hsst,2.3.1.46
1529,hstpt,2.6.1.9
1532,hxatex,2.8.3.8
1533,hxct,2.4.2.8
1534,hxprt,1.18.99.1
1535,hyd1pp,1.18.99.1
1536,hyd2pp,1.18.99.1
1547,icdhyr,1.1.1.42
1548,ichors_copy1,5.4.99.6
1550,ichort,3.3.2.1
1551,icl,4.1.3.1
1558,igpdh,4.2.1.19
1559,igps,4.1.1.48
1560,ileabcpp,2.6.1.42
1561,ilet2rpp,6.1.1.5
1565,impc,3.5.4.10
1566,impd,1.1.1.205
1572,insh,3.2.2.8
1573,insk,2.7.1.73
1578,ipddi,5.3.3.2
1580,ipmd,1.1.1.85
1581,ippmia,4.2.1.33
1582,ippmib,4.2.1.33
1583,ipps,4.1.3.12
1588,kabcpp,1.1.1.86
1589,kara1,1.1.1.86
1590,kara2,2.3.1.41
1592,kas15,2.7.7.38
1593,kdoct2,3.1.3.45
1594,kdopp,4.1.2.16
1600,l_lacd2,1.1.2.3
1601,l_lacd3,1.1.2.3
1605,lacz,3.2.1.23
1606,laczpp,3.2.1.108
1612,laldo2x,1.1.1.21
1613,laldo3,1.1.1.21
1615,lcadi,1.2.1.21
1616,lcarr,1.1.1.77
1617,lcars,1.1.1.77
1621,ldh_d,1.1.1.28
1622,ldh_d2,1.1.2.4
1623,leuabcpp,2.6.1.42
1624,leut2rpp,6.1.1.4
1628,lgthl,4.4.1.5
1640,lpadss,2.4.1.182
1641,lplipal1a120pp,3.1.1.5
1642,lplipal1a140pp,3.1.1.5
1643,lplipal1a141pp,3.1.1.5
1644,lplipal1a160pp,3.1.1.5
1645,lplipal1a161pp,3.1.1.5
1646,lplipal1a180pp,3.1.1.5
1647,lplipal1a181pp,3.1.1.5
1648,lplipal1e120pp,3.1.1.5
1649,lplipal1e140pp,3.1.1.5
1650,lplipal1e141pp,3.1.1.5
1651,lplipal1e160pp,3.1.1.5
1652,lplipal1e161pp,3.1.1.5
1653,lplipal1e180pp,3.1.1.5
1654,lplipal1e181pp,3.1.1.5
1655,lplipal1g120pp,3.1.1.5
1656,lplipal1g140pp,3.1.1.5
1657,lplipal1g141pp,3.1.1.5
1658,lplipal1g160pp,3.1.1.5
1659,lplipal1g161pp,3.1.1.5
1660,lplipal1g180pp,3.1.1.5
1661,lplipal1g181pp,3.1.1.5
1662,lplipal2a120,3.1.1.5
1663,lplipal2a140,3.1.1.5
1664,lplipal2a141,3.1.1.5
1665,lplipal2a160,3.1.1.5
1666,lplipal2a161,3.1.1.5
1667,lplipal2a180,3.1.1.5
1668,lplipal2a181,3.1.1.5
1683,lplipal2e120,3.1.1.5
1684,lplipal2e140,3.1.1.5
1685,lplipal2e141,3.1.1.5
1686,lplipal2e160,3.1.1.5
1687,lplipal2e161,3.1.1.5
1688,lplipal2e180,3.1.1.5
1689,lplipal2e181,3.1.1.5
1690,lplipal2g120,3.1.1.5
1691,lplipal2g140,3.1.1.5
1692,lplipal2g141,3.1.1.5
1693,lplipal2g160,3.1.1.5
1694,lplipal2g161,3.1.1.5
1695,lplipal2g180,3.1.1.5
1696,lplipal2g181,3.1.1.5
1698,lysabcpp,4.1.1.18
1699,lysdc,6.1.1.6
1707,m1pd,1.1.1.17
1710,malddh,1.1.1.83
1713,mals,4.1.3.2
1714,malt2_2pp,2.3.1.79
1730,man1pt2,2.7.7.22
1731,man6pi,5.3.1.8
1734,manao,1.1.1.57
1740,mcitd,4.2.1.79
1741,mcitl2,4.1.3.30
1742,mcits,4.1.3.31
1743,mcoata,2.3.1.39
1744,mcpst,2.8.1.2
1748,mddcp1pp,3.4.16.4
1749,mddcp2pp,3.4.16.4
1750,mddcp3pp,3.4.16.4
1751,mddcp4pp,3.4.16.4
1752,mddcp5pp,3.4.16.4
1757,mdh,1.1.1.37
1758,mdh2,1.1.99.16
1759,mdh3,1.1.99.16
1760,me1,1.1.1.38
1761,me2,1.1.1.40
1770,metabcpp,2.5.1.6
1775,metox2s,2.1.1.13
1780,metsox2tex,1.8.4.5
1782,metsoxr2,6.1.1.10
1789,mgsa,4.2.3.3
1790,mi1pp,3.1.3.25
1791,micitdr,4.2.1.99
1795,mldcp1app,3.4.17.13
1796,mldcp1bpp,3.4.17.13
1797,mldcp2app,3.4.17.13
1798,mldcp2bpp,3.4.17.13
1799,mldcp3app,3.4.17.13
1814,mmcd,4.1.1.41
1817,mmm,5.4.99.2
1823,mnnh,4.2.1.8
1835,mohmt,2.1.2.11
1836,mox,1.1.3.3
1845,mtan,3.2.2.16
1846,mthfc,3.5.4.9
1847,mthfd,1.5.1.5
1848,mthfr2,1.5.1.20
1850,mtrpox,1.5.3.2
1856,naddp,3.6.1.22
1857,nadh10,1.6.5.3
1858,nadh16pp,1.6.5.3
1859,nadh17pp,1.6.5.3
1860,nadh18pp,1.6.5.3
1861,nadh5,1.6.5.3
1862,nadh9,1.6.5.3
1863,nadk,2.7.1.23
1864,nadn,3.2.2.5
1865,nadphqr2,1.6.99.6
1866,nadphqr3,1.6.99.6
1867,nadphqr4,1.6.99.6
1869,nads1,6.3.1.5
1871,namnpp,2.4.2.11
1876,ndpk1,2.7.4.6
1877,ndpk2,2.7.4.6
1878,ndpk3,2.7.4.6
1879,ndpk4,2.7.4.6
1880,ndpk5,2.7.4.6
1881,ndpk6,2.7.4.6
1882,ndpk7,2.7.4.6
1883,ndpk8,2.7.4.6
1892,nmnat,2.7.7.1
1893,nmnda,3.5.1.42
1894,nmnn,3.2.2.14
1896,nmnt7pp,3.2.2.14
1898,nnam,3.5.1.19
1899,nnatr,2.7.7.18
1901,nndpr,2.4.2.19
1904,no3r1bpp,1.7.99.4
1905,no3r1pp,1.7.99.4
1906,no3r2bpp,1.7.99.4
1910,nodox,1.14.12.17
1911,nodoy,1.14.12.17
1916,ntd1,3.1.3.5
1917,ntd10,3.1.3.5
1918,ntd10pp,3.1.3.5
1919,ntd11,3.1.3.5
1920,ntd11pp,3.1.3.5
1921,ntd12,3.1.3.5
1922,ntd12pp,3.1.3.5
1923,ntd1pp,3.1.3.5
1924,ntd2,3.1.3.5
1925,ntd2pp,3.1.3.5
1926,ntd3,3.1.3.5
1927,ntd3pp,3.1.3.5
1928,ntd4,3.1.3.5
1929,ntd4pp,3.1.3.5
1930,ntd5,3.1.3.5
1931,ntd5pp,3.1.3.5
1932,ntd6,3.1.3.5
1933,ntd6pp,3.1.3.5
1934,ntd7,3.1.3.5
1935,ntd7pp,3.1.3.5
1936,ntd8,3.1.3.5
1937,ntd8pp,3.1.3.5
1938,ntd9,3.1.3.5
1939,ntd9pp,3.1.3.5
1940,ntp1,3.6.1.15
1941,ntp10,3.6.1.15
1942,ntp11,3.6.1.15
1943,ntp12,3.6.1.15
1944,ntp3,3.6.1.15
1945,ntp3pp,3.6.1.15
1946,ntp5,3.6.1.15
1948,ntpp10,3.6.1.19
1949,ntpp11,3.6.1.19
1957,ntpp9,3.6.1.19
1958,ntptp1,3.1.5.1
1959,ntptp2,3.1.5.1
1976,oaadc,4.1.1.3
1978,ocbt,2.1.3.3
1984,ogmeacpd,4.2.1.59
1985,ogmeacpr,1.1.1.100
1987,ohpbat,2.6.1.52
1993,ompdc,4.1.1.23
1996,op4enh,4.2.1.80
2000,opmeacpd,4.2.1.59
2001,opmeacpr,1.1.1.100
2002,opmeacps,2.3.1.41
2003,ornabcpp,4.1.1.17
2008,orpt,2.4.2.10
2009,oxamtc,2.1.3.5
2010,oxcdc,4.1.1.8
2013,p5cd,1.5.1.12
2014,p5cr,1.5.1.2
2025,paccoal,6.2.1.30
2026,pants,6.3.2.1
2027,papa120,3.1.3.4
2028,papa120pp,3.1.3.4
2029,papa140,3.1.3.4
2030,papa140pp,3.1.3.4
2031,papa141,3.1.3.4
2032,papa141pp,3.1.3.4
2033,papa160,3.1.3.4
2034,papa160pp,3.1.3.4
2035,papa161,3.1.3.4
2036,papa161pp,3.1.3.4
2037,papa180,3.1.3.4
2038,papa180pp,3.1.3.4
2039,papa181,3.1.3.4
2040,papa181pp,3.1.3.4
2041,pappt3,2.7.8.13
2042,papsr,1.8.4.8
2043,papsr2,1.8.4.8
2044,pde1,3.1.4.17
2045,pde4,3.1.4.17
2048,pdx5poi,1.4.3.5
2058,peamnopp,1.4.3.6
2063,pfk,2.7.1.11
2064,pfk_2,2.7.1.11
2065,pfk_3,2.7.1.11
2074,pgamt,5.4.2.10
2075,pgcd,1.1.1.95
2076,pgi,5.3.1.9
2077,pgk,2.7.2.3
2078,pgl,3.1.1.31
2079,pglycp,3.1.3.18
2080,pgm,5.4.2.1
2081,pgmt,5.4.2.2
2089,pgpp120,3.1.3.27
2090,pgpp120pp,3.1.3.27
2091,pgpp140,3.1.3.27
2092,pgpp140pp,3.1.3.27
2093,pgpp141,3.1.3.27
2094,pgpp141pp,3.1.3.27
2095,pgpp160,3.1.3.27
2096,pgpp160pp,3.1.3.27
2097,pgpp161,3.1.3.27
2098,pgpp161pp,3.1.3.27
2099,pgpp180,3.1.3.27
2100,pgpp180pp,3.1.3.27
2101,pgpp181,3.1.3.27
2102,pgpp181pp,3.1.3.27
2103,pgsa120,2.7.8.5
2104,pgsa140,2.7.8.5
2105,pgsa141,2.7.8.5
2106,pgsa160,2.7.8.5
2107,pgsa161,2.7.8.5
2108,pgsa180,2.7.8.5
2109,pgsa181,2.7.8.5
2112,phet2rpp,2.6.1.58
2113,pheta1,6.1.1.20
2120,plipa1a120pp,3.1.1.32
2121,plipa1a140pp,3.1.1.32
2122,plipa1a141pp,3.1.1.32
2123,plipa1a160pp,3.1.1.32
2124,plipa1a161pp,3.1.1.32
2125,plipa1a180pp,3.1.1.32
2126,plipa1a181pp,3.1.1.32
2127,plipa1e120pp,3.1.1.32
2128,plipa1e140pp,3.1.1.32
2129,plipa1e141pp,3.1.1.32
2130,plipa1e160pp,3.1.1.32
2131,plipa1e161pp,3.1.1.32
2132,plipa1e180pp,3.1.1.32
2133,plipa1e181pp,3.1.1.32
2134,plipa1g120pp,3.1.1.32
2135,plipa1g140pp,3.1.1.32
2136,plipa1g141pp,3.1.1.32
2137,plipa1g160pp,3.1.1.32
2138,plipa1g161pp,3.1.1.32
2139,plipa1g180pp,3.1.1.32
2140,plipa1g181pp,3.1.1.32
2141,plipa2a120pp,3.1.1.4
2142,plipa2a140pp,3.1.1.4
2143,plipa2a141pp,3.1.1.4
2144,plipa2a160pp,3.1.1.4
2145,plipa2a161pp,3.1.1.4
2146,plipa2a180pp,3.1.1.4
2147,plipa2a181pp,3.1.1.4
2148,plipa2e120pp,3.1.1.4
2149,plipa2e140pp,3.1.1.4
2150,plipa2e141pp,3.1.1.4
2151,plipa2e160pp,3.1.1.4
2152,plipa2e161pp,3.1.1.4
2153,plipa2e180pp,3.1.1.4
2154,plipa2e181pp,3.1.1.4
2155,plipa2g120pp,3.1.1.4
2156,plipa2g140pp,3.1.1.4
2157,plipa2g141pp,3.1.1.4
2158,plipa2g160pp,3.1.1.4
2159,plipa2g161pp,3.1.1.4
2160,plipa2g180pp,3.1.1.4
2161,plipa2g181pp,3.1.1.4
2162,pmanm,5.4.2.8
2165,pmpk,2.7.4.7
2166,pntk,2.7.1.33
2170,por5,1.2.7.1
2171,pox,1.2.2.2
2172,ppa,3.6.1.1
2173,ppa2,3.6.1.1
2174,ppakr,2.7.2.1
2179,ppbngs,4.2.1.24
2180,ppc,4.1.1.31
2181,ppcdc,4.1.1.36
2182,ppck,4.1.1.49
2184,ppgppdp,3.1.7.2
2185,ppk2r,2.7.4.1
2186,ppkr,2.7.4.1
